,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,GSPC.Return
233,2852.870117,2884.969971,2852.870117,2873.340088,3220250000,2873.340088,0.0104976975846502
234,2885.830078,2904.77002,2885.51001,2886.72998,3209210000,2886.72998,0.0046600442655294
235,2903.27002,2910.610107,2878.530029,2885.719971,3548420000,2885.719971,-0.00034987997041555
236,2882.72998,2888.570068,2874.679932,2879.840088,3034130000,2879.840088,-0.00203757920348816
237,2886.23999,2895.23999,2881.98999,2891.639893,3069810000,2891.639893,0.00409738202102564
238,2886.820068,2894.449951,2879.620117,2886.97998,2922330000,2886.97998,-0.00161151221190458
239,2889.75,2897.27002,2887.300049,2889.669922,2810140000,2889.669922,0.000931749447046728
240,2906.709961,2930.790039,2905.439941,2917.75,3437620000,2917.75,0.00971739982695503
241,2920.550049,2931.73999,2911.429932,2926.459961,3287890000,2926.459961,0.00298516356781768
242,2949.600098,2958.060059,2931.5,2954.179932,3905940000,2954.179932,0.00947218529192786
243,2952.709961,2964.149902,2946.870117,2950.459961,5000120000,2950.459961,-0.00125922289285932
244,2951.419922,2954.919922,2944.050049,2945.350098,3136250000,2945.350098,-0.00173188691510602
245,2945.780029,2946.52002,2916.01001,2917.379883,3578050000,2917.379883,-0.00949639739567552
246,2926.070068,2932.590088,2912.98999,2913.780029,3478130000,2913.780029,-0.00123393392165927
247,2919.659912,2929.300049,2918.570068,2924.919922,3122920000,2924.919922,0.00382317569930741
248,2932.939941,2943.97998,2929.050049,2941.76001,5420700000,2941.76001,0.00575745266505793
249,2971.409912,2977.929932,2952.219971,2964.330078,3513270000,2964.330078,0.00767230090941375
250,2964.659912,2973.209961,2955.919922,2973.01001,3206840000,2973.01001,0.00292812600877978
251,2978.080078,2995.840088,2977.959961,2995.820068,1963720000,2995.820068,0.00767237847275194
252,2984.25,2994.030029,2967.969971,2990.409912,2434210000,2990.409912,-0.00180590151517735
253,2979.77002,2980.76001,2970.090088,2975.949951,2904550000,2975.949951,-0.0048354444459185
254,2965.52002,2981.899902,2963.439941,2979.629883,3028210000,2979.629883,0.00123655708617124
255,2989.300049,3002.97998,2984.620117,2993.070068,3154240000,2993.070068,0.00451068942377094
256,2999.620117,3002.330078,2988.800049,2999.909912,3154620000,2999.909912,0.00228522682216074
257,3003.360107,3013.919922,3001.870117,3013.77002,2974960000,3013.77002,0.0046201747407673
258,3017.800049,3017.800049,3008.77002,3014.300049,2874970000,3014.300049,0.000175869093023897
259,3012.129883,3015.02002,3001.149902,3004.040039,3290650000,3004.040039,-0.00340377859974615
260,3005.100098,3005.26001,2984.25,2984.419922,3181600000,2984.419922,-0.00653124350717082
261,2978.870117,2998.280029,2973.090088,2995.110107,3296580000,2995.110107,0.0035819976006714
262,3004.26001,3006.02002,2975.860107,2976.610107,3260360000,2976.610107,-0.00617673452363666
263,2981.929932,2990.709961,2976.649902,2985.030029,3003720000,2985.030029,0.00282869495746157
264,2994.73999,3005.899902,2988.560059,3005.469971,3313660000,3005.469971,0.00684748287334565
265,2998.77002,3019.590088,2996.820068,3019.560059,3428980000,3019.560059,0.00468814798881912
266,3016.26001,3016.310059,2997.23999,3003.669922,3645270000,3003.669922,-0.00526240137288816
267,3013.25,3027.97998,3012.590088,3025.860107,3257590000,3025.860107,0.00738769091685832
268,3024.469971,3025.610107,3014.300049,3020.969971,3203710000,3020.969971,-0.00161611436982403
269,3007.659912,3017.189941,3000.939941,3013.179932,3634330000,3013.179932,-0.0025786548938854
270,3016.219971,3017.399902,2958.080078,2980.379883,4623430000,2980.379883,-0.0108855261684386
271,2980.320068,3013.590088,2945.22998,2953.560059,4762300000,2953.560059,-0.00899879379571029
272,2943.899902,2945.5,2914.110107,2932.050049,3874660000,2932.050049,-0.00728274000538953
273,2898.070068,2898.070068,2822.120117,2844.73999,4513730000,2844.73999,-0.0297778201397953
274,2861.179932,2884.399902,2847.419922,2881.77002,4154240000,2881.77002,0.0130170174181718
275,2858.649902,2892.169922,2825.709961,2883.97998,4491750000,2883.97998,0.000766875907745108
276,2896.209961,2938.719971,2894.469971,2938.090088,4106370000,2938.090088,0.0187623036134945
277,2930.51001,2935.75,2900.149902,2918.649902,3350640000,2918.649902,-0.00661660650890151
278,2907.070068,2907.580078,2873.139893,2882.699951,2851630000,2882.699951,-0.0123173221205344
279,2880.719971,2943.310059,2877.050049,2926.320068,3853600000,2926.320068,0.0151316882580403
280,2894.149902,2894.149902,2839.639893,2840.600098,4312530000,2840.600098,-0.0292927526750639
281,2846.199951,2856.669922,2825.51001,2847.600098,4.038e+09,2847.600098,0.00246426802735399
282,2864.73999,2893.629883,2864.73999,2888.679932,3498150000,2888.679932,0.0144261246615536
283,2913.47998,2931,2913.47998,2923.649902,3212880000,2923.649902,0.0121058652475175
284,2919.01001,2923.629883,2899.600098,2900.51001,3066300000,2900.51001,-0.00791472740432112
285,2922.040039,2928.72998,2917.909912,2924.429932,3011190000,2924.429932,0.0082467986380092
286,2930.939941,2939.080078,2904.51001,2922.949951,2890880000,2922.949951,-0.000506075041773288
287,2911.070068,2927.01001,2834.969971,2847.110107,3937300000,2847.110107,-0.0259463368416739
288,2866.699951,2879.27002,2856,2878.379883,2857600000,2878.379883,0.0109829879508766
289,2893.139893,2898.790039,2860.590088,2869.159912,3533630000,2869.159912,-0.0032031807387392
290,2861.280029,2890.030029,2853.050049,2887.939941,3097420000,2887.939941,0.00654548006245809
291,2910.370117,2930.5,2905.669922,2924.580078,3176190000,2924.580078,0.0126872918926813
292,2937.090088,2940.429932,2913.320068,2926.459961,3008450000,2926.459961,0.000642787323260999
293,2909.01001,2914.389893,2891.850098,2906.27002,3426790000,2906.27002,-0.0068991003700939
294,2924.669922,2938.840088,2921.860107,2937.780029,3163260000,2937.780029,0.0108420789476403
295,2960.600098,2985.860107,2960.600098,2976,3890700000,2976,0.0130098137446355
296,2980.330078,2985.030029,2972.51001,2978.709961,3208280000,2978.709961,0.00091060517473119
297,2988.429932,2989.429932,2969.389893,2978.429932,4002890000,2978.429932,-9.40101599908717e-05
298,2971.01001,2979.389893,2957.01001,2979.389893,4390770000,2979.389893,0.00032230437576734
299,2981.409912,3000.929932,2975.310059,3000.929932,3927550000,3000.929932,0.0072296811674792
300,3009.080078,3020.73999,3000.919922,3009.570068,3791860000,3009.570068,0.00287915286120715
301,3012.209961,3017.330078,3002.899902,3007.389893,3520060000,3007.389893,-0.000724414102592664
302,2996.409912,3002.189941,2990.669922,2997.959961,4274640000,2997.959961,-0.00313558678306033
303,2995.669922,3006.209961,2993.72998,3005.699951,3671840000,3005.699951,0.00258175229178787
304,3001.5,3007.830078,2978.570068,3006.72998,3435540000,3006.72998,0.000342691891004397
305,3010.360107,3021.98999,3003.159912,3006.790039,3251290000,3006.790039,1.99748565383015e-05
306,3008.419922,3016.370117,2984.679932,2992.070068,6094740000,2992.070068,-0.00489557661461974
307,2983.5,2999.149902,2982.22998,2991.780029,3186590000,2991.780029,-9.69358983607796e-05
308,3002.429932,3007.97998,2957.72998,2966.600098,3868160000,2966.600098,-0.00841637110881327
309,2968.350098,2989.820068,2952.860107,2984.870117,3318870000,2984.870117,0.00615857156221265
310,2985.72998,2987.280029,2963.709961,2977.620117,3077240000,2977.620117,-0.00242891640701832
311,2985.469971,2987.310059,2945.530029,2961.790039,3243650000,2961.790039,-0.00531635244859543
312,2967.070068,2983.850098,2967.070068,2976.73999,3247610000,2976.73999,0.00504760661733053
313,2983.689941,2992.530029,2938.699951,2940.25,3558040000,2940.25,-0.0122583732951429
314,2924.780029,2924.780029,2874.929932,2887.610107,3912520000,2887.610107,-0.0179032031289856
315,2885.379883,2911.129883,2855.939941,2910.629883,3503640000,2910.629883,0.00797191280921088
316,2918.560059,2953.73999,2918.560059,2952.01001,2990830000,2952.01001,0.014216897600649
317,2944.22998,2959.75,2935.679932,2938.790039,2940140000,2938.790039,-0.00447829477380396
318,2920.399902,2925.469971,2892.659912,2893.060059,3356450000,2893.060059,-0.0155608190422344
319,2911.100098,2929.320068,2907.409912,2919.399902,2726820000,2919.399902,0.00910449228942198
320,2918.550049,2948.459961,2917.120117,2938.129883,3217250000,2938.129883,0.00641569556372478
321,2963.070068,2993.280029,2963.070068,2970.27002,3580460000,2970.27002,0.010938977608159
322,2965.810059,2972.840088,2962.939941,2966.149902,2557020000,2966.149902,-0.0013871190067763
323,2973.610107,3003.280029,2973.610107,2995.679932,3340740000,2995.679932,0.00995567687934064
324,2989.679932,2997.540039,2985.199951,2989.689941,3222570000,2989.689941,-0.00199954305398736
325,3000.77002,3008.290039,2991.790039,2997.949951,3115960000,2997.949951,0.00276283165244792
326,2996.840088,3000,2976.310059,2986.199951,3264290000,2986.199951,-0.00391934494973162
327,2996.47998,3007.330078,2995.350098,3006.719971,3271620000,3006.719971,0.00687161621348507
328,3010.72998,3014.570068,2995.040039,2995.98999,3523890000,2995.98999,-0.00356866655474779
329,2994.01001,3004.780029,2991.209961,3004.52002,3392870000,3004.52002,0.00284714903202994
330,3014.780029,3016.070068,3000.419922,3010.290039,3692600000,3010.290039,0.00192044618161674
